search_hashtag,video_id,real_video_url,create_time,publish_date,clean_text,author_name,play_count,digg_count
française,7384798748519582720,https://www.tiktok.com/@placeholder/video/7384798748519582720,2024-06-26 13:10:58,,“Les français écoutent…” #drole #etrangere #apprentissage #francais #languefrançaise #comedienne #tiktokfrance #francetiktok #jevousparle #jeparlefrancais #raconteuse,Mariaparlefrançais,0,0
française,7384131033681103872,https://www.tiktok.com/@placeholder/video/7384131033681103872,2024-06-24 17:59:49,,La menace parle French #french #femme #fille #relation #lamenace,ECLATDERIRESS,0,0
française,7346271570672864256,https://www.tiktok.com/@placeholder/video/7346271570672864256,2024-03-14 17:25:46,,#france #💙🤍❤️ #àl'école,fraufessor,0,0
française,7257999142344068096,https://www.tiktok.com/@placeholder/video/7257999142344068096,2023-07-20 20:25:37,,"""Sauf à"" #french  #language  #vocabulary  #vocab  #vocabulaire  #francais  #éloquence  #speak  #parler  #parlerfrancais  #LanguageLearning #languagelesson  #languages #secultiver#coursdefrançais🇫🇷 #culturegenerale  #francaisenligne  #apprendrelefrançais",langage_,0,0
française,7173691106167753728,https://www.tiktok.com/@placeholder/video/7173691106167753728,2022-12-05 15:45:22,,"se présenter en français,  introduce my self, أقدم نفسي #sepresenter #apprendrelefrançais #francaisfacile",Fançais facile  avec Maya,0,0
française,7660415343248165888,https://www.tiktok.com/@placeholder/video/7660415343248165888,2026-07-09 06:44:05,,"ACTU FRANCE 🇫🇷 : Mondial-2926: Didier Deschamps (sélectionneur de l'équipe de France) fait de la pression sur l’arbitre argentin pour le match France Vs Maroc.  « J'espère que l'arbitre de demain sera aussi bon que M. Letexier et ses assistants l'ont été dans le match Argentine-Égypte. Mon adversaire est le Maroc, pas l'arbitre. »",France-AfriqueMÉDIA,0,0
française,7503104366002424832,https://www.tiktok.com/@placeholder/video/7503104366002424832,2025-05-11 08:37:07,,Français 🗣️ #FrançaisFacile #parlerfrancais #VocabulaireFrançais #français #LangueFrançaise,Français,0,0
française,7319914353178856448,https://www.tiktok.com/@placeholder/video/7319914353178856448,2024-01-03 16:46:18,,Quiz expressions françaises 📚  Seras-tu capable de retrouver la fin de ces expressions ?  Dis moi ton score en commentaire 😉  #quiz #expressions #languefrançaise #expressionsfrançaises #apprendresurtiktok #tiktokacademie,Un QUIZ par JOUR,0,0
française,7660427754550184960,https://www.tiktok.com/@placeholder/video/7660427754550184960,2026-07-09 07:32:13,,"⚽ France 🇫🇷 vs Maroc 🇲🇦 | Coupe du Monde 2026 | Quart de finale La Côte Cachée vient d’être retrouvée. Dans cette vidéo, je partage mon analyse France Maroc avant ce quart de finale de la Coupe du Monde 2026. Pourquoi je pense que le Maroc peut marquer au moins un but face à la France ? Je t’explique mon raisonnement en seulement 30 secondes, en m’appuyant sur la dynamique des équipes, leur animation offensive et le contexte de cette affiche. Ici, tu retrouveras chaque jour des analyses football, des analyses sportives, des décryptages du Tour de France, de Wimbledon, de la Coupe du Monde 2026 et des plus grands événements sportifs. 🎙️ Une analyse. 30 secondes. Chaque jour. 💬 Selon toi, France - Maroc sera-t-il un match ouvert ? Le Maroc marquera-t-il ? Donne ton avis en commentaire !",LA CÔTE CACHÉE 📲,0,0
française,7660439712129190912,https://www.tiktok.com/@placeholder/video/7660439712129190912,2026-07-09 08:18:36,,"The Weeknd donnait hier soir le premier de ses 4 concerts au Stade de France, on y était et c’était génial 🔥",Interlude,0,0
française,7660421419255335936,https://www.tiktok.com/@placeholder/video/7660421419255335936,2026-07-09 07:07:43,,"Dans les douze heures suivant le refus de la FIFA d’annuler le carton jaune de Michael Olise, Didier Deschamps a rapidement pris trois mesures afin d’éviter que l’équipe de France ne soit privée d’Olise en demi-finale.#fyp #worldcup #olise #didier #celebrity",Licelebrity830,0,0
française,7446378766554696704,https://www.tiktok.com/@placeholder/video/7446378766554696704,2024-12-09 11:52:47,,vocabulaire pour mieux parler le français  #apprendre #languefrançaise #france #vocabulaire #apprendrelefrançais #apprendresurtiktok #francaise🇨🇵 #francaisfacile,École de sagesse,0,0
française,7485342663877725184,https://www.tiktok.com/@placeholder/video/7485342663877725184,2025-03-24 11:52:37,,Apprendre le français 🚀🇫🇷 #languefrançaise #france #parlerfrancais #ApprendreSurTikTok #francaise🇨🇵 #tiktoktravel #LearnOnTikTok,cashafrick,0,0
française,7382275980498308096,https://www.tiktok.com/@placeholder/video/7382275980498308096,2024-06-19 18:01:14,,#francaise🇨🇵,ਮਨਪ੍ਰੀਤ,0,0
française,7660428223246912512,https://www.tiktok.com/@placeholder/video/7660428223246912512,2026-07-09 07:34:04,,La team Pitch Addict et Nico Colombien nous donnent leurs pronos pour France - Maroc. 🇫🇷🇲🇦 Donnez-nous VOS pronos en commentaires. ⬇️👀  @Pitch Addict 🤝 @bigcolombien,Instant Foot,0,0
française,7464993572438150144,https://www.tiktok.com/@placeholder/video/7464993572438150144,2025-01-28 15:47:44,,#marionsigaut #politique #peinedemort🙏🏻,"francais,francaise",0,0
française,7501336111277444096,https://www.tiktok.com/@placeholder/video/7501336111277444096,2025-05-06 14:15:21,,Français 🛑 #ApprendreLeFrançais #FrançaisFacile #parlerfrancais #france #belgique,Français,0,0
française,7478332648092404736,https://www.tiktok.com/@placeholder/video/7478332648092404736,2025-03-05 14:30:10,,French  #ApprendreLeFrançais  #LearnFrench #LangueFrançaise #frenchlearning #french,Français,0,0
française,7487950652660780032,https://www.tiktok.com/@placeholder/video/7487950652660780032,2025-03-31 12:32:55,,French. #ApprendreLeFrançais #parlerfrancais #LangueFrançaise #LearnFrench #frenchlearning #French,Français,0,0
française,7643455903043308544,https://www.tiktok.com/@placeholder/video/7643455903043308544,2026-05-24 13:52:45,,Rdv Le 30 Mai @Mims🤍 30Mai berge du palais 🔥❤️,Française de jojo🔥🧸💟💞,0,0
française,7574739067250822144,https://www.tiktok.com/@placeholder/video/7574739067250822144,2025-11-20 09:36:20,,Dernière danse indila @Indila  #indila #dernieredanse #indilamusique #dernieredanseindila #classiquefr,Fréquence Française,0,0
française,7122144562239392768,https://www.tiktok.com/@placeholder/video/7122144562239392768,2022-07-19 17:58:27,,"Quand on veut apprendre le français, on peut ! 💪🏻 Vous connaissez cette expression ? #fle #francais #french #speakfrench #learnfrench #frenchteacher #frenchgirl #madameapaname #frenchexpression",Madame à Paname,0,0
française,7333516936501808128,https://www.tiktok.com/@placeholder/video/7333516936501808128,2024-02-09 08:31:24,,Mot du jour : Impétueux #vocabulaire #apprendresurtiktok #apprendrelefrançais #parlerfrancais #motdujour,La Moustache Française,0,0
francophone,7646306093924109312,https://www.tiktok.com/@placeholder/video/7646306093924109312,2026-06-01 06:12:57,,#fyp #dancers #franco @🎭SONNY🫧,brendawlss,0,0
francophone,7276470927922072576,https://www.tiktok.com/@placeholder/video/7276470927922072576,2023-09-08 15:03:35,,Quel son passe le + dans vos #pourtoi ? 🇫🇷💯🔥 #djphaphane #fyp #foryou #trend #viral #dj #francophone #pourtoi,DJ Phaphane,0,0
francophone,7625058116555557888,https://www.tiktok.com/@placeholder/video/7625058116555557888,2026-04-05 00:00:04,,Clip africain francophone marquant des années 2000 #logobi #cotedivoire #african #tiktokafrique #afromusic,ZÉDÉKA !,0,0
francophone,7215936965277993984,https://www.tiktok.com/@placeholder/video/7215936965277993984,2023-03-29 12:00:55,,Voici les pays avec le plus de francophones. #francophone #francophonie #languefrançaise,Brut.,0,0
francophone,7455436763448822784,https://www.tiktok.com/@placeholder/video/7455436763448822784,2025-01-02 21:42:25,,Dc:@IFETE ✍🏾 #mhd #degat #dancechallenge #pourtoii #danse #francotiktok #africantiktok,Brevoojr🌀🩸,0,0
francophone,7380793938589780992,https://www.tiktok.com/@placeholder/video/7380793938589780992,2024-06-15 18:13:02,,Tous Les Pays Francophones #français #france #canada #québec #suisse #francophone #paysfrançais #languefrançaise #parlantfrançais #vivredansunpaysfrancophone #paysparlantfrançais #paysfrancophones #lespaysfrancophones #paysoùlonparlefrançais #nationsfrancophones #paysavecfrancophones #paysoùlefrançaisestparlé #paysfrancophonesenamériquedunord #paysfrancophonesenamériquedusud #paysfrancophonesenocéanie #paysfrancophonesenafrique #paysfrancophoneseneurope,Passportix,0,0
francophone,7640588030557899776,https://www.tiktok.com/@placeholder/video/7640588030557899776,2026-05-16 20:23:57,,"Elle pensait avoir 100 vues, elle a fini avec le clip francophone le plus vu de l’histoire 🤣 Indila quelle humilité…",Indila Supremacy,0,0
francophone,7463105241031003136,https://www.tiktok.com/@placeholder/video/7463105241031003136,2025-01-23 13:40:09,,TOO DUR BRO😂😂😭 #bilingual #français #francophone,Tata Chelsea.,0,0
francophone,7660111024946793472,https://www.tiktok.com/@placeholder/video/7660111024946793472,2026-07-08 11:03:04,,#France #Suisse #Belgique #FIFA #dragonsceleste,Sh4rl,0,0
francophone,7482950739275336704,https://www.tiktok.com/@placeholder/video/7482950739275336704,2025-03-18 01:10:59,,Part time francophone 🤷🏾‍♂️ #fyp #explore #pourtoii #francophone,SM🏁,0,0
francophone,7285355181217254400,https://www.tiktok.com/@placeholder/video/7285355181217254400,2023-10-02 13:39:00,,les suffixes : phone /phobe/phile . . .#apprendrelefrancais #تعلمالفرنسيةللمبتدئين #lefrancaisavecjulie #CapCut #lefrançaisavechania #vocabulaire #تعلمالفرنسية,le français avec Hania 🇲🇫,0,0
